provider,model,n_runs,mean_run_accuracy,std_run_accuracy,rse_std_dev,min_accuracy,max_accuracy,range_accuracy,t_ci_lower,t_ci_upper,total_pooled_accuracy,pooled_ci_lower,pooled_ci_upper
Google AI Studio,gemini_2_0_flashlite,8,0.45592105263157895,0.013109769970540029,0.2672612419124244,0.43859649122807015,0.4807017543859649,0.04210526315789476,0.44496101065845456,0.46688109460470334,0.45592105263157895,0.4415084146101109,0.47040789457213716
Intel Gaudi3,qwen3_235b_a22b_instruct_2507,8,0.8842105263157896,0.01425269895550168,0.2672612419124244,0.868421052631579,0.9035087719298246,0.03508771929824561,0.8722949717993003,0.8961260808322788,0.8842105263157894,0.8745983524370745,0.8931759078251215
Intel Gaudi3,qwen3_30b_a3b_instruct_2507,8,0.693201754385965,0.008917957460317746,0.2672612419124244,0.6789473684210526,0.7070175438596491,0.028070175438596467,0.6857461553709356,0.7006573534009943,0.6932017543859649,0.6796586699057233,0.7064195968128809
Intel Gaudi3,qwen3_235b_a22b,8,0.6765350877192982,0.011747744354887037,0.2672612419124244,0.6578947368421053,0.6912280701754386,0.033333333333333326,0.6667137276566553,0.686356447781941,0.6765350877192983,0.6628137532277154,0.6899592373607937
Intel Gaudi3,qwen3_4b_instruct_2507,8,0.6,0.010400247579572157,0.2672612419124244,0.5877192982456141,0.6157894736842106,0.028070175438596467,0.5913051754333489,0.608694824566651,0.6,0.5857024914079301,0.6141291653726415
Intel Gaudi3,qwen3_32b,8,0.5969298245614034,0.01318710208629202,0.2672612419124244,0.5789473684210527,0.612280701754386,0.033333333333333326,0.5859051313215965,0.6079545178012103,0.5969298245614035,0.5826170239715067,0.6110794503640473
Intel Gaudi3,mistral_large_instruct_2411,8,0.5890350877192982,0.01579643399915481,0.2672612419124244,0.5649122807017544,0.6105263157894737,0.04561403508771933,0.575828938408862,0.6022412370297345,0.5890350877192982,0.5746856174621957,0.6032346734433132
Intel Gaudi3,phi_4,7,0.5481203007518797,0.013005240905878962,0.2886751345948129,0.5298245614035088,0.5684210526315789,0.038596491228070184,0.5360924589942256,0.5601481425095337,0.5481203007518797,0.5326391103309653,0.5635089225740233
Kamiwaza,kimi_k2_thinking,6,0.7976608187134503,0.010329544872898057,0.31622776601683794,0.787719298245614,0.8175438596491228,0.029824561403508754,0.7868206261799262,0.8085010112469744,0.7976608187134503,0.7838659512360578,0.8107877511877916
NVIDIA H200,minimax_m2,8,0.8989035087719298,0.010140702095191616,0.2672612419124244,0.8859649122807017,0.9140350877192982,0.028070175438596467,0.8904256696603354,0.9073813478835242,0.8989035087719298,0.8898153443774612,0.9073201461573188
NVIDIA H200,minimax_m2_1,8,0.8592105263157895,0.012109439546895312,0.2672612419124244,0.8403508771929824,0.8736842105263158,0.03333333333333344,0.8490867815053749,0.8693342711262042,0.8592105263157894,0.8488130276587501,0.8690033184083029
NVIDIA H200,mistral_large_3_675b_instruct_2512,8,0.749780701754386,0.009467996993387268,0.2672612419124244,0.7368421052631579,0.7649122807017544,0.02807017543859658,0.7418652581819871,0.757696145326785,0.7497807017543859,0.7370023141012875,0.7621386005326402
OpenAI,gpt_5_medreason,8,0.9570175438596491,0.004087595596566451,0.2672612419124244,0.9526315789473684,0.9631578947368421,0.010526315789473717,0.9536002284217581,0.9604348592975401,0.9570175438596491,0.9507360911579311,0.962529638514681
OpenAI,gpt_5_2_medreason,8,0.8907894736842106,0.015962571091660247,0.2672612419124244,0.8631578947368421,0.9140350877192982,0.050877192982456076,0.877444430288581,0.9041345170798402,0.8907894736842106,0.8814055214606669,0.8995155583265668
OpenAI,gpt_5_mini_medreason,8,0.8616228070175438,0.018482116239069958,0.2672612419124244,0.8403508771929824,0.887719298245614,0.047368421052631615,0.8461713711656891,0.8770742428693985,0.8616228070175439,0.8512959698832371,0.8713408766763299
OpenAI,gpt_5_1_medreason,4,0.7618421052631579,0.022346910882205223,0.4082482904638631,0.7298245614035088,0.7771929824561403,0.047368421052631504,0.7262831832773625,0.7974010272489532,0.7618421052631579,0.7439266471010623,0.7788767179873993
OpenAI,gpt_4_1,8,0.5076754385964912,0.01254416635620621,0.2672612419124244,0.4964912280701754,0.5298245614035088,0.033333333333333326,0.4971882530782993,0.5181626241146832,0.5076754385964912,0.493164513966056,0.522173442146488
OpenAI,gpt_5_1,8,0.48179824561403506,0.024145011425735344,0.2672612419124244,0.43859649122807015,0.5070175438596491,0.068421052631579,0.4616125109091319,0.5019839803189382,0.4817982456140351,0.4673170013783262,0.49631013126906975
OpenAI,gpt_5_nano_medreason,8,0.28881578947368425,0.01174774435488703,0.2672612419124244,0.2719298245614035,0.3087719298245614,0.0368421052631579,0.27899442941104136,0.29863714953632714,0.2888157894736842,0.2758435991473909,0.302143494098902
